Entry,Average
0,52.659999999999997
1-10,45.401709401709404
11-20,49.617977528089888
21-30,48.303030303030305
31-40,49.683544303797468
41-50,50.5625
51-60,52.219298245614034
61-70,49.680851063829785
71-80,50.041322314049587
81-90,53.39473684210526
91-100,50.137096774193552
