RequestorID,Entry_date,Behavior,Reputation,Like_list_len,Block_list_len,ratings,mid_thres,low_thre
140,13,35,0.5392648991004952,68,6,29683,29,16
141,13,64,1.0,51,5,28341,47,12
142,14,82,1.0,60,5,22333,40,13
143,14,94,1.0,64,4,23167,36,10
144,15,25,0.11146903106461696,53,5,31354,45,14
145,15,88,1.0,50,8,26695,46,20
146,16,50,0.9915087319998249,64,8,22847,34,20
147,16,66,1.0,70,5,25276,26,12
148,16,72,1.0,52,5,27924,45,12
149,17,67,1.0,63,5,29913,33,12
150,17,82,1.0,69,4,31215,26,10
151,18,16,-0.002102803738317757,53,5,17120,43,12
152,18,95,1.0,63,6,31732,32,17
153,18,21,0.0,74,4,26651,21,10
154,18,77,1.0,60,5,21829,36,13
155,18,80,1.0,62,5,26870,35,13
156,19,67,1.0,54,7,27434,41,19
157,19,73,1.0,53,6,25477,43,16
158,19,7,-1.0,1,0,1,35,17
159,19,60,1.0,72,5,29322,23,11
160,20,20,-0.00030303030303030303,68,5,26400,24,13
161,20,74,1.0,53,4,25115,42,10
162,21,54,1.0,55,8,26323,40,20
163,21,65,1.0,66,6,18531,27,18
164,21,2,-1.0,1,0,1,23,11
165,21,39,0.6252072429374858,58,6,30761,36,18
166,21,7,-1.0,1,0,1,31,13
167,22,60,1.0,69,5,21096,23,14
168,22,97,1.0,59,5,31265,33,11
169,22,36,0.543277247233591,45,7,26388,48,19
170,22,12,-1.0,1,0,1,30,10
171,23,60,1.0,51,5,25674,43,14
172,23,37,0.5131238447319778,59,5,24345,34,12
173,23,80,1.0,56,7,19364,38,19
174,24,38,0.6132058516947629,55,8,27821,37,20
175,24,39,0.6873251560146331,58,5,27882,34,14
176,24,89,1.0,55,5,25594,37,11
177,24,58,1.0,60,7,25940,28,19
178,25,36,0.5190882988905037,58,6,28211,31,16
179,25,30,0.3024032527408698,66,7,27546,22,19
180,25,86,1.0,58,6,25311,29,18
181,26,25,0.14604246657723088,54,4,21617,39,10
182,26,45,0.8643828417526112,54,5,30446,39,13
183,27,82,1.0,53,7,23680,38,19
184,27,61,1.0,42,5,25805,48,14
185,27,90,1.0,56,5,23854,32,15
186,27,24,0.10440844009042954,53,6,26540,38,16
187,28,44,0.855810770349459,59,6,23379,26,17
188,28,68,1.0,60,5,29241,24,13
189,28,32,0.4208733009888523,55,6,27001,30,17
190,28,75,1.0,54,6,20923,33,17
191,28,55,1.0,63,5,27193,23,12
192,29,18,-0.0006632124352331606,54,5,24125,35,11
193,29,72,1.0,55,5,22945,31,15
194,29,59,1.0,52,5,21881,38,18
195,29,36,0.5693454575243713,59,5,24414,25,13
196,29,30,0.22292523872370157,52,5,25762,38,15
197,30,78,1.0,51,5,22776,38,12
198,30,97,1.0,62,5,24964,23,16
199,31,59,1.0,52,5,24272,35,18
200,32,83,1.0,51,5,23459,36,14
201,32,39,0.7328169588259275,45,5,24530,42,14
202,33,59,1.0,52,5,21808,35,17
203,33,47,0.9239056378811106,39,5,23484,48,15
204,33,74,1.0,48,5,23261,40,12
205,34,73,1.0,60,6,26604,23,20
206,34,19,-0.0005425690645205046,60,6,22117,23,19
207,34,78,1.0,51,5,23743,33,12
208,34,78,1.0,51,5,19317,33,14
209,34,4,-1.0,1,0,1,45,11
210,35,82,1.0,56,6,26442,24,20
211,36,68,1.0,36,6,23739,47,20
212,37,57,1.0,54,5,20418,24,12
213,37,15,-0.0026133743274404306,47,6,13010,36,20
214,38,89,1.0,49,6,23426,28,19
215,38,55,1.0,49,5,24808,28,17
216,38,94,1.0,35,4,21535,48,10
217,39,45,0.8713574982231699,46,6,28140,34,19
218,40,94,1.0,54,5,26385,23,14
219,41,18,-0.0008199601733630081,45,5,17074,29,14
220,42,42,0.7518886679920477,44,4,22635,29,10
221,42,68,1.0,33,5,22285,46,17
222,43,70,1.0,42,4,20390,37,12
223,43,43,0.6747732893652102,41,3,19408,40,10
224,43,30,0.30418889962606616,33,5,23801,48,19
225,44,87,1.0,47,4,20079,26,13
226,45,6,-1.0,1,0,1,26,20
227,45,40,0.6667342963804577,38,4,24644,41,15
228,45,57,1.0,44,3,26374,28,10
229,46,64,1.0,49,4,18800,21,15
230,46,92,1.0,32,4,24410,47,13
231,47,82,1.0,45,4,14493,26,18
232,47,70,1.0,48,4,21126,22,16
233,48,93,1.0,47,4,24310,22,14
234,49,25,0.11340523882896764,44,4,12980,24,12
235,49,21,0.0,35,5,21339,41,20
236,49,26,0.12476278919530019,38,4,24767,37,17
237,49,45,0.8472811415349016,41,4,20744,28,13
238,49,44,0.7985259986155788,40,4,24559,31,17
239,50,60,1.0,39,4,18033,29,11
240,50,97,1.0,38,5,21208,35,20
241,50,80,1.0,31,4,24865,44,11
242,50,31,0.31276145479600376,43,4,20319,24,12
243,51,84,1.0,28,5,20643,49,20
244,51,14,-1.0,1,0,1,24,11
245,51,17,-0.00127750177430802,30,4,14090,45,12
246,51,29,0.21138597407530507,36,4,21061,38,12
247,52,3,-1.0,0,0,1,45,19
248,53,39,0.6708217696034621,36,4,21259,35,14
249,53,52,1.0,27,4,18918,47,13
250,53,18,-0.0010277492291880781,36,4,12649,33,12
251,53,40,0.6723952738990333,38,4,20482,28,17
252,54,4,-1.0,0,0,1,44,17
253,54,41,0.7175613052712879,26,4,20716,50,17
254,55,87,1.0,29,4,22284,43,15
255,55,54,1.0,29,4,19570,43,14
256,56,43,0.7467125339843533,33,4,18023,33,18
257,56,45,0.8332992292476639,34,4,14661,29,18
258,57,36,0.5253443135027687,36,4,21129,26,16
259,57,1,-1.0,1,0,1,41,10
260,57,50,0.9447331384648695,31,4,18474,37,14
261,58,92,1.0,26,4,19744,45,17
262,58,99,1.0,37,4,17968,21,12
263,58,87,1.0,32,4,16120,32,12
264,58,8,-1.0,0,1,1,45,13
265,58,73,1.0,24,4,17995,50,12
266,59,91,1.0,24,4,17601,49,19
267,59,98,1.0,35,3,15368,25,16
268,59,93,1.0,24,3,18715,48,14
269,59,95,1.0,37,3,18339,22,13
270,60,3,-1.0,1,0,1,35,19
271,61,76,1.0,24,3,16016,45,16
272,61,85,1.0,30,3,18033,31,11
273,62,20,-0.00018735948038970773,21,3,16012,49,15
274,62,27,0.21668386861757027,34,4,16471,23,19
275,63,45,0.8280019289503295,25,3,18663,40,12
276,63,23,0.07340211075536582,28,3,16866,29,16
277,63,59,1.0,28,3,15493,29,17
278,63,5,-1.0,1,0,1,41,19
279,63,89,1.0,26,3,11118,38,17
280,64,8,-1.0,1,0,1,22,19
281,64,94,1.0,22,3,18953,43,12
282,64,87,1.0,27,3,11151,30,13
283,64,28,0.17973874850265245,26,3,17531,36,13
284,64,65,1.0,21,3,14330,44,17
285,65,14,-1.0,1,0,1,45,11
286,65,18,-0.0006892326543115331,18,3,13058,46,18
287,65,67,1.0,26,3,17743,29,12
288,66,100,1.0,17,3,9479,49,11
289,66,63,1.0,23,3,16415,37,12
290,66,7,-1.0,0,0,1,41,18
291,67,20,-0.00017587055926837847,19,4,17058,45,19
292,67,22,0.028832914878108042,20,3,12347,43,17
293,67,17,-0.0014031300593631947,24,3,9265,31,15
294,68,35,0.6108799412556603,24,3,16342,31,13
295,68,58,1.0,27,3,16604,24,14
296,68,24,0.08280408879211275,23,3,16533,39,13
297,68,43,0.7645654250238777,27,4,16752,26,20
298,69,46,0.9517051586445068,24,2,18532,32,14
299,69,79,1.0,24,3,17001,30,20
300,70,98,1.0,22,2,15447,38,17
301,70,7,-1.0,1,0,1,25,20
302,71,7,-1.0,1,0,1,37,12
303,71,59,1.0,15,2,14063,49,18
304,71,70,1.0,21,2,12077,39,17
305,71,14,-1.0,1,0,1,25,14
306,72,50,0.937748517045825,21,2,15341,29,12
307,72,89,1.0,25,2,15531,21,13
308,72,96,1.0,21,2,11887,36,18
309,72,37,0.6321441706509746,20,3,13595,39,20
310,73,21,0.0,24,2,13205,27,18
311,73,38,0.4178773204196933,20,2,9912,39,14
312,73,93,1.0,21,2,15824,29,18
313,73,13,-1.0,0,0,1,48,12
314,74,18,-0.0005202913631633715,24,2,11532,21,11
315,74,78,1.0,24,2,13747,23,19
316,74,52,1.0,16,2,11035,45,20
317,75,9,-1.0,1,0,1,22,17
318,75,62,1.0,20,2,13217,34,12
319,75,6,-1.0,1,0,1,30,13
320,76,97,1.0,12,2,14718,50,17
321,76,67,1.0,18,2,12805,39,18
322,76,61,1.0,19,2,14231,31,14
323,76,44,0.8228882833787466,17,2,7707,40,15
324,77,28,0.1828326978517623,18,2,10753,29,12
325,78,68,1.0,17,2,13467,34,18
326,78,17,-1.0,1,0,1,40,11
327,78,8,-1.0,1,0,1,29,14
328,79,84,1.0,10,2,9747,46,20
329,80,77,1.0,10,2,11392,46,13
330,80,57,1.0,15,2,9686,30,11
331,81,23,0.04279822581900241,17,2,12851,21,17
332,81,69,1.0,14,2,9267,38,18
333,81,52,1.0,12,2,11449,45,12
334,81,55,1.0,16,2,10589,24,16
335,82,22,0.08461142563046835,15,2,9715,27,19
336,82,67,1.0,13,2,8723,39,11
337,83,82,1.0,14,2,7716,30,13
338,83,5,-1.0,1,0,1,36,12
339,83,68,1.0,13,2,10195,37,20
340,84,52,1.0,13,2,9216,25,15
341,84,85,1.0,14,2,3695,23,15
342,85,34,0.34668721109399075,7,2,8437,49,17
343,85,56,1.0,7,2,9005,46,16
344,85,69,1.0,11,2,9219,38,17
345,85,17,-0.0007531254707034192,10,2,6639,40,18
346,86,85,1.0,11,2,9179,30,14
347,86,30,0.20138481398896843,9,2,8521,43,17
348,87,5,-1.0,1,0,1,29,17
349,88,42,0.8682291666666667,8,2,5760,41,14
350,88,91,1.0,8,2,7270,43,20
351,88,57,1.0,9,2,4694,33,12
352,89,70,1.0,8,2,6915,33,12
353,89,86,1.0,8,2,7723,25,14
354,89,19,-0.0004463289444320464,5,2,4481,50,17
355,89,20,0.0,8,2,2487,28,15
356,89,95,1.0,8,2,5949,27,17
357,90,36,0.38457290132547867,6,2,5432,45,13
358,90,89,1.0,8,2,7401,22,15
359,90,61,1.0,6,2,6211,42,18
360,91,66,1.0,6,2,4191,35,11
361,91,87,1.0,5,2,3833,45,15
362,91,4,-1.0,0,1,1,24,12
363,91,64,1.0,6,2,7236,24,16
364,91,26,0.0,6,2,5698,38,15
365,92,55,1.0,7,1,5695,23,15
366,92,10,-1.0,0,0,1,50,14
367,92,39,0.3979848866498741,6,1,3970,34,20
368,92,60,1.0,6,1,5706,29,17
369,92,55,1.0,6,1,5392,26,12
370,93,68,1.0,3,1,4231,46,18
371,94,78,1.0,4,1,3084,36,18
372,94,29,0.0,4,1,4001,36,10
373,94,58,1.0,5,1,1735,22,12
374,95,78,1.0,4,1,2764,31,12
375,96,80,1.0,3,1,2844,38,15
376,96,97,1.0,3,1,3178,31,16
377,96,17,-0.0005184033177812338,3,1,1929,37,14
378,97,33,0.0,1,1,2461,47,17
379,97,12,-1.0,1,0,1,29,13
380,97,57,1.0,1,1,902,50,18
381,98,1,-1.0,1,0,1,44,20
382,98,48,1.0,1,1,1093,24,13
383,99,81,1.0,0,1,1064,40,12
384,100,54,0.0,0,0,0,22,15
385,100,17,0.0,0,0,0,44,17
