Entry,Average
0,1466.5699999999999
1-10,1334.3936170212767
11-20,1303.8163265306123
21-30,1002.6265060240963
31-40,889.78813559322032
41-50,866.25806451612902
51-60,772.3373493975904
61-70,441.92500000000001
71-80,321.71538461538461
81-90,212.95294117647057
91-100,71.884210526315783
