Entry,Average
0,0.0
1-10,0.0
11-20,77.6875
21-30,90.791208791208788
31-40,100.9375
41-50,131.95454545454547
51-60,182.27199999999999
61-70,242.34677419354838
71-80,354.651376146789
81-90,347.52100840336135
91-100,322.91176470588238
