Entry,Average
0,49.57
1-10,49.229999999999997
11-20,51.643410852713181
21-30,47.392000000000003
31-40,46.791666666666664
41-50,48.383838383838381
51-60,48.467391304347828
61-70,58.864197530864196
71-80,52.421487603305785
81-90,40.794392523364486
91-100,55.712962962962962
