Entry,Average
0,48.219999999999999
1-10,49.96875
11-20,48.344086021505376
21-30,50.684210526315788
31-40,51.143999999999998
41-50,49.382608695652173
51-60,50.598360655737707
61-70,54.506329113924053
71-80,54.081967213114751
81-90,55.458823529411767
91-100,45.618181818181817
