Entry,Average
0,29.420000000000002
1-10,281.39805825242718
11-20,399.0
21-30,703.20987654320993
31-40,798.75
41-50,728.25217391304352
51-60,899.65740740740739
61-70,1219.108695652174
71-80,835.10000000000002
81-90,1503.3118279569892
91-100,1090.3599999999999
